,establishment,type,month,value
286,Bachhrawan,Modification,April,41.0
287,Bachhrawan,Modification,May,35.0
288,Badaun,Addition,March,307.0
289,Badaun,Addition,April,304.0
290,Badaun,Addition,May,219.0
291,Badaun,Deletion,March,357.0
292,Badaun,Deletion,April,90.0
293,Badaun,Deletion,May,20.0
294,Badaun,Modification,March,264.0
295,Badaun,Modification,April,187.0
296,Badaun,Modification,May,171.0
297,Badlapur,Addition,March,189.0
298,Badlapur,Addition,April,181.0
299,Badlapur,Addition,May,103.0
300,Badlapur,Deletion,March,30.0
301,Badlapur,Deletion,April,41.0
302,Badlapur,Deletion,May,22.0
303,Badlapur,Modification,March,99.0
304,Badlapur,Modification,April,135.0
305,Badlapur,Modification,May,77.0
306,Baghpat,Addition,March,154.0
307,Baghpat,Addition,April,434.0
308,Baghpat,Addition,May,69.0
309,Baghpat,Deletion,March,41.0
310,Baghpat,Deletion,April,124.0
311,Baghpat,Deletion,May,6.0
312,Baghpat,Modification,March,206.0
313,Baghpat,Modification,April,479.0
314,Baghpat,Modification,May,62.0
315,Bah,Addition,March,211.0
316,Bah,Addition,April,297.0
317,Bah,Addition,May,271.0
318,Bah,Deletion,March,25.0
319,Bah,Deletion,April,74.0
320,Bah,Deletion,May,29.0
321,Bah,Modification,March,73.0
322,Bah,Modification,April,164.0
323,Bah,Modification,May,124.0
324,Baheri,Addition,March,275.0
325,Baheri,Addition,April,258.0
326,Baheri,Addition,May,275.0
327,Baheri,Deletion,March,39.0
328,Baheri,Deletion,April,96.0
329,Baheri,Deletion,May,17.0
330,Baheri,Modification,March,177.0
331,Baheri,Modification,April,248.0
332,Baheri,Modification,May,208.0
333,Bahraich,Addition,March,521.0
334,Bahraich,Addition,April,443.0
335,Bahraich,Addition,May,408.0
336,Bahraich,Deletion,March,24.0
337,Bahraich,Deletion,April,60.0
338,Bahraich,Deletion,May,27.0
339,Bahraich,Modification,March,269.0
340,Bahraich,Modification,April,234.0
341,Bahraich,Modification,May,232.0
342,Bairia,Addition,March,252.0
343,Bairia,Addition,April,232.0
344,Bairia,Addition,May,185.0
345,Bairia,Deletion,March,20.0
346,Bairia,Deletion,April,70.0
347,Bairia,Deletion,May,6.0
348,Bairia,Modification,March,125.0
349,Bairia,Modification,April,113.0
350,Bairia,Modification,May,95.0
351,Bakshi Kaa Talab,Addition,March,253.0
352,Bakshi Kaa Talab,Addition,April,249.0
353,Bakshi Kaa Talab,Addition,May,274.0
354,Bakshi Kaa Talab,Deletion,March,119.0
355,Bakshi Kaa Talab,Deletion,April,119.0
356,Bakshi Kaa Talab,Deletion,May,24.0
357,Bakshi Kaa Talab,Modification,March,148.0
358,Bakshi Kaa Talab,Modification,April,142.0
359,Bakshi Kaa Talab,Modification,May,124.0
360,Balamau,Addition,March,126.0
361,Balamau,Addition,April,68.0
362,Balamau,Addition,May,69.0
363,Balamau,Deletion,March,18.0
364,Balamau,Deletion,April,10.0
365,Balamau,Deletion,May,2.0
366,Balamau,Modification,March,171.0
367,Balamau,Modification,April,68.0
368,Balamau,Modification,May,59.0
