,establishment,type,month,value
1453,Harraiya,Deletion,May,11.0
1454,Harraiya,Modification,March,163.0
1455,Harraiya,Modification,April,194.0
1456,Harraiya,Modification,May,127.0
1457,Hasanpur,Addition,March,208.0
1458,Hasanpur,Addition,April,103.0
1459,Hasanpur,Addition,May,195.0
1460,Hasanpur,Deletion,March,13.0
1461,Hasanpur,Deletion,April,23.0
1462,Hasanpur,Deletion,May,16.0
1463,Hasanpur,Modification,March,166.0
1464,Hasanpur,Modification,April,138.0
1465,Hasanpur,Modification,May,141.0
1466,Hastinapur,Addition,March,198.0
1467,Hastinapur,Addition,April,174.0
1468,Hastinapur,Addition,May,104.0
1469,Hastinapur,Deletion,March,32.0
1470,Hastinapur,Deletion,April,33.0
1471,Hastinapur,Deletion,May,11.0
1472,Hastinapur,Modification,March,170.0
1473,Hastinapur,Modification,April,165.0
1474,Hastinapur,Modification,May,136.0
1475,Hata,Addition,March,180.0
1476,Hata,Addition,April,156.0
1477,Hata,Addition,May,192.0
1478,Hata,Deletion,March,8.0
1479,Hata,Deletion,April,27.0
1480,Hata,Deletion,May,6.0
1481,Hata,Modification,March,181.0
1482,Hata,Modification,April,201.0
1483,Hata,Modification,May,157.0
1484,Hathras,Addition,March,86.0
1485,Hathras,Addition,April,49.0
1486,Hathras,Addition,May,53.0
1487,Hathras,Deletion,March,26.0
1488,Hathras,Deletion,April,54.0
1489,Hathras,Deletion,May,15.0
1490,Hathras,Modification,March,75.0
1491,Hathras,Modification,April,77.0
1492,Hathras,Modification,May,69.0
1493,Husainganj,Addition,March,81.0
1494,Husainganj,Addition,April,107.0
1495,Husainganj,Addition,May,221.0
1496,Husainganj,Deletion,March,28.0
1497,Husainganj,Deletion,April,87.0
1498,Husainganj,Deletion,May,167.0
1499,Husainganj,Modification,March,61.0
1500,Husainganj,Modification,April,57.0
1501,Husainganj,Modification,May,86.0
1502,Iglas,Addition,March,378.0
1503,Iglas,Addition,April,146.0
1504,Iglas,Addition,May,162.0
1505,Iglas,Deletion,March,14.0
1506,Iglas,Deletion,April,54.0
1507,Iglas,Deletion,May,19.0
1508,Iglas,Modification,March,90.0
1509,Iglas,Modification,April,81.0
1510,Iglas,Modification,May,72.0
1511,Isauli,Addition,March,149.0
1512,Isauli,Addition,April,152.0
1513,Isauli,Addition,May,194.0
1514,Isauli,Deletion,March,7.0
1515,Isauli,Deletion,April,25.0
1516,Isauli,Deletion,May,22.0
1517,Isauli,Modification,March,132.0
1518,Isauli,Modification,April,131.0
1519,Isauli,Modification,May,129.0
1520,Itwa,Addition,March,191.0
1521,Itwa,Addition,April,159.0
1522,Itwa,Addition,May,106.0
1523,Itwa,Deletion,March,18.0
1524,Itwa,Deletion,April,16.0
1525,Itwa,Deletion,May,21.0
1526,Itwa,Modification,March,125.0
1527,Itwa,Modification,April,101.0
1528,Itwa,Modification,May,96.0
1529,Jagdishpur,Addition,March,219.0
1530,Jagdishpur,Addition,April,173.0
1531,Jagdishpur,Addition,May,167.0
1532,Jagdishpur,Deletion,March,27.0
1533,Jagdishpur,Deletion,April,90.0
1534,Jagdishpur,Deletion,May,28.0
1535,Jagdishpur,Modification,March,107.0
1536,Jagdishpur,Modification,April,109.0
1537,Jagdishpur,Modification,May,122.0
1538,Jahanabad,Addition,March,250.0
1539,Jahanabad,Addition,April,78.0
1540,Jahanabad,Addition,May,151.0
1541,Jahanabad,Deletion,March,11.0
1542,Jahanabad,Deletion,April,8.0
1543,Jahanabad,Deletion,May,67.0
1544,Jahanabad,Modification,March,144.0
1545,Jahanabad,Modification,April,71.0
1546,Jahanabad,Modification,May,94.0
1547,Jakhanian,Addition,March,126.0
1548,Jakhanian,Addition,April,110.0
1549,Jakhanian,Addition,May,128.0
1550,Jakhanian,Deletion,March,33.0
1551,Jakhanian,Deletion,April,25.0
1552,Jakhanian,Deletion,May,17.0
1553,Jakhanian,Modification,March,264.0
1554,Jakhanian,Modification,April,143.0
1555,Jakhanian,Modification,May,138.0
1556,Jalalabad,Addition,March,129.0
1557,Jalalabad,Addition,April,172.0
1558,Jalalabad,Addition,May,211.0
1559,Jalalabad,Deletion,March,12.0
1560,Jalalabad,Deletion,April,17.0
1561,Jalalabad,Deletion,May,8.0
1562,Jalalabad,Modification,March,66.0
1563,Jalalabad,Modification,April,66.0
1564,Jalalabad,Modification,May,60.0
1565,Jalalpur,Addition,March,208.0
1566,Jalalpur,Addition,April,209.0
1567,Jalalpur,Addition,May,227.0
1568,Jalalpur,Deletion,March,7.0
1569,Jalalpur,Deletion,April,173.0
1570,Jalalpur,Deletion,May,49.0
1571,Jalalpur,Modification,March,255.0
1572,Jalalpur,Modification,April,282.0
1573,Jalalpur,Modification,May,280.0
1574,Jalesar,Addition,March,159.0
1575,Jalesar,Addition,April,189.0
1576,Jalesar,Addition,May,146.0
1577,Jalesar,Deletion,March,25.0
1578,Jalesar,Deletion,April,37.0
1579,Jalesar,Deletion,May,15.0
1580,Jalesar,Modification,March,102.0
1581,Jalesar,Modification,April,100.0
1582,Jalesar,Modification,May,88.0
1583,Jangipur,Addition,March,139.0
1584,Jangipur,Addition,April,67.0
1585,Jangipur,Addition,May,76.0
1586,Jangipur,Deletion,March,20.0
1587,Jangipur,Deletion,April,22.0
1588,Jangipur,Deletion,May,20.0
1589,Jangipur,Modification,March,257.0
1590,Jangipur,Modification,April,100.0
1591,Jangipur,Modification,May,141.0
1592,Jasrana,Addition,March,223.0
1593,Jasrana,Addition,April,247.0
1594,Jasrana,Addition,May,803.0
1595,Jasrana,Deletion,March,17.0
1596,Jasrana,Deletion,April,12.0
1597,Jasrana,Deletion,May,9.0
1598,Jasrana,Modification,March,123.0
1599,Jasrana,Modification,April,191.0
1600,Jasrana,Modification,May,133.0
1601,Jaswantnagar,Addition,March,105.0
1602,Jaswantnagar,Addition,April,97.0
1603,Jaswantnagar,Addition,May,88.0
1604,Jaswantnagar,Deletion,March,14.0
1605,Jaswantnagar,Deletion,April,51.0
1606,Jaswantnagar,Deletion,May,36.0
1607,Jaswantnagar,Modification,March,88.0
1608,Jaswantnagar,Modification,April,88.0
1609,Jaswantnagar,Modification,May,73.0
1610,Jaunpur,Addition,March,442.0
1611,Jaunpur,Addition,April,324.0
1612,Jaunpur,Addition,May,335.0
1613,Jaunpur,Deletion,March,196.0
1614,Jaunpur,Deletion,April,36.0
1615,Jaunpur,Deletion,May,10.0
1616,Jaunpur,Modification,March,221.0
1617,Jaunpur,Modification,April,191.0
1618,Jaunpur,Modification,May,148.0
1619,Jewar,Addition,March,240.0
1620,Jewar,Addition,April,251.0
1621,Jewar,Addition,May,300.0
1622,Jewar,Deletion,March,18.0
1623,Jewar,Deletion,April,92.0
1624,Jewar,Deletion,May,10.0
1625,Jewar,Modification,March,150.0
1626,Jewar,Modification,April,145.0
1627,Jewar,Modification,May,126.0
1628,Jhansi Nagar,Addition,March,676.0
1629,Jhansi Nagar,Addition,April,512.0
1630,Jhansi Nagar,Addition,May,464.0
1631,Jhansi Nagar,Deletion,March,31.0
1632,Jhansi Nagar,Deletion,April,141.0
1633,Jhansi Nagar,Deletion,May,41.0
1634,Jhansi Nagar,Modification,March,344.0
1635,Jhansi Nagar,Modification,April,276.0
1636,Jhansi Nagar,Modification,May,305.0
1637,Kadipur,Addition,March,303.0
1638,Kadipur,Addition,April,237.0
1639,Kadipur,Addition,May,289.0
1640,Kadipur,Deletion,March,15.0
1641,Kadipur,Deletion,April,52.0
1642,Kadipur,Deletion,May,16.0
1643,Kadipur,Modification,March,253.0
1644,Kadipur,Modification,April,235.0
1645,Kadipur,Modification,May,191.0
1646,Kaimganj,Addition,March,109.0
1647,Kaimganj,Addition,April,71.0
1648,Kaimganj,Addition,May,211.0
1649,Kaimganj,Deletion,March,23.0
1650,Kaimganj,Deletion,April,20.0
1651,Kaimganj,Deletion,May,96.0
1652,Kaimganj,Modification,March,74.0
1653,Kaimganj,Modification,April,87.0
1654,Kaimganj,Modification,May,123.0
1655,Kairana,Addition,March,75.0
1656,Kairana,Addition,April,137.0
1657,Kairana,Addition,May,100.0
1658,Kairana,Deletion,March,29.0
1659,Kairana,Deletion,April,42.0
1660,Kairana,Modification,March,330.0
1661,Kairana,Modification,April,162.0
1662,Kairana,Modification,May,39.0
1663,Kaiserganj,Addition,March,535.0
1664,Kaiserganj,Addition,April,449.0
1665,Kaiserganj,Addition,May,300.0
1666,Kaiserganj,Deletion,March,6.0
1667,Kaiserganj,Deletion,April,22.0
1668,Kaiserganj,Deletion,May,11.0
1669,Kaiserganj,Modification,March,269.0
1670,Kaiserganj,Modification,April,265.0
1671,Kaiserganj,Modification,May,418.0
1672,Kalpi,Addition,March,443.0
1673,Kalpi,Addition,April,197.0
1674,Kalpi,Addition,May,396.0
1675,Kalpi,Deletion,March,25.0
1676,Kalpi,Deletion,April,28.0
1677,Kalpi,Deletion,May,78.0
1678,Kalpi,Modification,March,146.0
1679,Kalpi,Modification,April,82.0
1680,Kalpi,Modification,May,97.0
1681,Kalyanpur,Addition,March,288.0
1682,Kalyanpur,Addition,April,210.0
1683,Kalyanpur,Addition,May,232.0
1684,Kalyanpur,Deletion,March,32.0
1685,Kalyanpur,Deletion,April,167.0
1686,Kalyanpur,Deletion,May,19.0
1687,Kalyanpur,Modification,March,157.0
1688,Kalyanpur,Modification,April,155.0
1689,Kalyanpur,Modification,May,158.0
1690,Kannauj,Addition,March,125.0
1691,Kannauj,Addition,April,61.0
1692,Kannauj,Addition,May,53.0
1693,Kannauj,Deletion,March,33.0
1694,Kannauj,Deletion,April,17.0
1695,Kannauj,Deletion,May,5.0
1696,Kannauj,Modification,March,106.0
1697,Kannauj,Modification,April,87.0
1698,Kannauj,Modification,May,87.0
1699,Kanpur Cantt,Addition,March,316.0
1700,Kanpur Cantt,Addition,April,170.0
1701,Kanpur Cantt,Addition,May,225.0
1702,Kanpur Cantt,Deletion,March,64.0
1703,Kanpur Cantt,Deletion,April,442.0
1704,Kanpur Cantt,Deletion,May,15.0
1705,Kanpur Cantt,Modification,March,132.0
1706,Kanpur Cantt,Modification,April,187.0
1707,Kanpur Cantt,Modification,May,216.0
1708,Kanth,Addition,March,165.0
1709,Kanth,Addition,April,129.0
1710,Kanth,Addition,May,167.0
1711,Kanth,Deletion,March,4.0
1712,Kanth,Deletion,April,21.0
1713,Kanth,Deletion,May,35.0
1714,Kanth,Modification,March,197.0
1715,Kanth,Modification,April,191.0
1716,Kanth,Modification,May,306.0
1717,Kapilvastu,Addition,March,333.0
1718,Kapilvastu,Addition,April,130.0
1719,Kapilvastu,Addition,May,155.0
1720,Kapilvastu,Deletion,March,25.0
1721,Kapilvastu,Deletion,April,13.0
1722,Kapilvastu,Deletion,May,6.0
1723,Kapilvastu,Modification,March,480.0
1724,Kapilvastu,Modification,April,120.0
1725,Kapilvastu,Modification,May,183.0
1726,Kaptanganj,Addition,March,248.0
1727,Kaptanganj,Addition,April,120.0
1728,Kaptanganj,Addition,May,135.0
1729,Kaptanganj,Deletion,March,54.0
1730,Kaptanganj,Deletion,April,39.0
1731,Kaptanganj,Deletion,May,22.0
1732,Kaptanganj,Modification,March,242.0
1733,Kaptanganj,Modification,April,147.0
1734,Kaptanganj,Modification,May,129.0
1735,Karachhana,Addition,March,143.0
1736,Karachhana,Addition,April,149.0
1737,Karachhana,Addition,May,165.0
1738,Karachhana,Deletion,March,5.0
1739,Karachhana,Deletion,April,24.0
1740,Karachhana,Deletion,May,1.0
1741,Karachhana,Modification,March,66.0
1742,Karachhana,Modification,April,49.0
1743,Karachhana,Modification,May,47.0
1744,Karhal,Addition,March,228.0
1745,Karhal,Addition,April,183.0
1746,Karhal,Addition,May,412.0
1747,Karhal,Deletion,March,113.0
1748,Karhal,Deletion,April,68.0
1749,Karhal,Deletion,May,241.0
1750,Karhal,Modification,March,208.0
1751,Karhal,Modification,April,120.0
1752,Karhal,Modification,May,211.0
1753,Kasganj,Addition,March,168.0
1754,Kasganj,Addition,April,281.0
1755,Kasganj,Addition,May,119.0
1756,Kasganj,Deletion,March,28.0
1757,Kasganj,Deletion,April,48.0
1758,Kasganj,Deletion,May,9.0
1759,Kasganj,Modification,March,165.0
1760,Kasganj,Modification,April,169.0
1761,Kasganj,Modification,May,122.0
1762,Kasta,Addition,March,174.0
1763,Kasta,Addition,April,117.0
1764,Kasta,Addition,May,94.0
1765,Kasta,Deletion,March,14.0
1766,Kasta,Deletion,April,8.0
1767,Kasta,Deletion,May,5.0
1768,Kasta,Modification,March,89.0
1769,Kasta,Modification,April,87.0
1770,Kasta,Modification,May,43.0
1771,Katehari,Addition,March,265.0
1772,Katehari,Addition,April,201.0
1773,Katehari,Addition,May,273.0
1774,Katehari,Deletion,March,30.0
1775,Katehari,Deletion,April,59.0
1776,Katehari,Deletion,May,22.0
1777,Katehari,Modification,March,237.0
1778,Katehari,Modification,April,238.0
1779,Katehari,Modification,May,191.0
1780,Katra,Addition,March,230.0
1781,Katra,Addition,April,218.0
1782,Katra,Addition,May,246.0
1783,Katra,Deletion,March,11.0
1784,Katra,Deletion,April,28.0
1785,Katra,Deletion,May,26.0
1786,Katra,Modification,March,117.0
1787,Katra,Modification,April,114.0
1788,Katra,Modification,May,93.0
1789,Katra Bazar,Addition,March,379.0
1790,Katra Bazar,Addition,April,332.0
1791,Katra Bazar,Addition,May,279.0
1792,Katra Bazar,Deletion,March,14.0
1793,Katra Bazar,Deletion,April,32.0
1794,Katra Bazar,Deletion,May,10.0
1795,Katra Bazar,Modification,March,228.0
1796,Katra Bazar,Modification,April,258.0
1797,Katra Bazar,Modification,May,178.0
1798,Kerakat,Addition,March,324.0
1799,Kerakat,Addition,April,540.0
1800,Kerakat,Addition,May,573.0
1801,Kerakat,Deletion,March,26.0
1802,Kerakat,Deletion,April,46.0
1803,Kerakat,Deletion,May,102.0
1804,Kerakat,Modification,March,110.0
1805,Kerakat,Modification,April,163.0
1806,Kerakat,Modification,May,127.0
1807,Khadda,Addition,March,153.0
1808,Khadda,Addition,April,148.0
1809,Khadda,Addition,May,119.0
1810,Khadda,Deletion,March,6.0
1811,Khadda,Deletion,April,23.0
1812,Khadda,Modification,March,82.0
1813,Khadda,Modification,April,94.0
1814,Khadda,Modification,May,65.0
1815,Khaga,Addition,March,53.0
1816,Khaga,Addition,April,134.0
1817,Khaga,Addition,May,151.0
1818,Khaga,Deletion,March,8.0
1819,Khaga,Deletion,April,186.0
1820,Khaga,Deletion,May,89.0
1821,Khaga,Modification,April,84.0
1822,Khaga,Modification,May,80.0
1823,Khair,Addition,March,121.0
1824,Khair,Addition,April,156.0
1825,Khair,Addition,May,174.0
1826,Khair,Deletion,March,27.0
1827,Khair,Deletion,April,44.0
1828,Khair,Deletion,May,21.0
1829,Khair,Modification,March,152.0
1830,Khair,Modification,April,138.0
1831,Khair,Modification,May,155.0
1832,Khajani,Addition,March,445.0
1833,Khajani,Addition,April,373.0
1834,Khajani,Addition,May,177.0
1835,Khajani,Deletion,March,43.0
1836,Khajani,Deletion,April,60.0
1837,Khajani,Deletion,May,3.0
1838,Khajani,Modification,March,313.0
1839,Khajani,Modification,April,163.0
1840,Khajani,Modification,May,113.0
1841,Khalilabad,Addition,March,484.0
1842,Khalilabad,Addition,April,339.0
1843,Khalilabad,Addition,May,366.0
1844,Khalilabad,Deletion,March,37.0
1845,Khalilabad,Deletion,April,23.0
1846,Khalilabad,Deletion,May,9.0
1847,Khalilabad,Modification,March,303.0
1848,Khalilabad,Modification,April,238.0
1849,Khalilabad,Modification,May,283.0
1850,Khatauli,Addition,March,263.0
1851,Khatauli,Addition,April,77.0
1852,Khatauli,Addition,May,105.0
1853,Khatauli,Deletion,March,37.0
1854,Khatauli,Deletion,April,50.0
1855,Khatauli,Deletion,May,17.0
1856,Khatauli,Modification,March,359.0
1857,Khatauli,Modification,April,145.0
1858,Khatauli,Modification,May,113.0
1859,Kheragarh,Addition,March,400.0
1860,Kheragarh,Addition,April,288.0
1861,Kheragarh,Addition,May,281.0
1862,Kheragarh,Deletion,March,14.0
1863,Kheragarh,Deletion,April,31.0
1864,Kheragarh,Deletion,May,11.0
1865,Kheragarh,Modification,March,252.0
1866,Kheragarh,Modification,April,177.0
1867,Kheragarh,Modification,May,166.0
1868,Khurja,Addition,March,205.0
1869,Khurja,Addition,April,193.0
1870,Khurja,Addition,May,275.0
1871,Khurja,Deletion,March,117.0
1872,Khurja,Deletion,April,100.0
1873,Khurja,Deletion,May,43.0
1874,Khurja,Modification,March,214.0
1875,Khurja,Modification,April,132.0
1876,Khurja,Modification,May,122.0
1877,Kidwai Nagar,Addition,March,244.0
1878,Kidwai Nagar,Addition,April,173.0
1879,Kidwai Nagar,Addition,May,103.0
1880,Kidwai Nagar,Deletion,March,27.0
1881,Kidwai Nagar,Deletion,April,153.0
1882,Kidwai Nagar,Deletion,May,28.0
1883,Kidwai Nagar,Modification,March,119.0
1884,Kidwai Nagar,Modification,April,155.0
1885,Kidwai Nagar,Modification,May,119.0
1886,Kishani,Addition,March,150.0
1887,Kishani,Addition,April,116.0
1888,Kishani,Addition,May,122.0
1889,Kishani,Deletion,March,30.0
1890,Kishani,Deletion,April,44.0
1891,Kishani,Deletion,May,52.0
1892,Kishani,Modification,March,96.0
1893,Kishani,Modification,April,64.0
1894,Kishani,Modification,May,60.0
1895,Kithore,Addition,March,162.0
1896,Kithore,Addition,April,194.0
1897,Kithore,Addition,May,101.0
1898,Kithore,Deletion,March,12.0
1899,Kithore,Deletion,April,39.0
1900,Kithore,Deletion,May,9.0
1901,Kithore,Modification,March,171.0
1902,Kithore,Modification,April,188.0
1903,Kithore,Modification,May,157.0
1904,Koil,Addition,March,640.0
1905,Koil,Addition,April,110.0
1906,Koil,Addition,May,159.0
1907,Koil,Deletion,March,111.0
1908,Koil,Deletion,April,78.0
1909,Koil,Deletion,May,27.0
1910,Koil,Modification,March,585.0
1911,Koil,Modification,April,213.0
1912,Koil,Modification,May,209.0
1913,Koraon,Addition,March,280.0
1914,Koraon,Addition,April,247.0
1915,Koraon,Addition,May,232.0
1916,Koraon,Deletion,March,18.0
1917,Koraon,Deletion,April,18.0
1918,Koraon,Deletion,May,17.0
1919,Koraon,Modification,March,125.0
1920,Koraon,Modification,April,101.0
1921,Koraon,Modification,May,112.0
1922,Kunda,Addition,March,317.0
1923,Kunda,Addition,April,250.0
1924,Kunda,Addition,May,289.0
1925,Kunda,Deletion,March,15.0
1926,Kunda,Deletion,April,40.0
1927,Kunda,Deletion,May,7.0
1928,Kunda,Modification,March,104.0
1929,Kunda,Modification,April,114.0
1930,Kunda,Modification,May,103.0
1931,Kundarki,Addition,March,234.0
1932,Kundarki,Addition,April,252.0
1933,Kundarki,Addition,May,232.0
1934,Kundarki,Deletion,March,19.0
1935,Kundarki,Deletion,April,17.0
1936,Kundarki,Deletion,May,29.0
1937,Kundarki,Modification,March,258.0
1938,Kundarki,Modification,April,250.0
1939,Kundarki,Modification,May,196.0
1940,Kursi,Addition,March,157.0
1941,Kursi,Addition,April,128.0
1942,Kursi,Addition,May,145.0
1943,Kursi,Deletion,March,9.0
1944,Kursi,Deletion,April,9.0
1945,Kursi,Deletion,May,4.0
1946,Kursi,Modification,March,124.0
1947,Kursi,Modification,April,124.0
1948,Kursi,Modification,May,105.0
1949,Kushinagar,Addition,March,109.0
1950,Kushinagar,Addition,April,83.0
1951,Kushinagar,Addition,May,145.0
1952,Kushinagar,Deletion,March,16.0
1953,Kushinagar,Deletion,April,21.0
1954,Kushinagar,Deletion,May,3.0
1955,Kushinagar,Modification,March,100.0
1956,Kushinagar,Modification,April,98.0
1957,Kushinagar,Modification,May,85.0
1958,Laharpur,Addition,March,513.0
1959,Laharpur,Addition,April,200.0
1960,Laharpur,Addition,May,119.0
1961,Laharpur,Deletion,March,13.0
1962,Laharpur,Deletion,April,19.0
1963,Laharpur,Deletion,May,5.0
1964,Laharpur,Modification,March,120.0
1965,Laharpur,Modification,April,96.0
1966,Laharpur,Modification,May,76.0
1967,Lakhimpur,Addition,March,293.0
1968,Lakhimpur,Addition,April,221.0
1969,Lakhimpur,Addition,May,223.0
1970,Lakhimpur,Deletion,March,25.0
1971,Lakhimpur,Deletion,April,26.0
1972,Lakhimpur,Deletion,May,56.0
1973,Lakhimpur,Modification,March,108.0
1974,Lakhimpur,Modification,April,165.0
1975,Lakhimpur,Modification,May,100.0
1976,Lalganj,Addition,March,157.0
1977,Lalganj,Addition,April,298.0
1978,Lalganj,Addition,May,128.0
1979,Lalganj,Deletion,March,38.0
1980,Lalganj,Deletion,April,43.0
1981,Lalganj,Deletion,May,35.0
1982,Lalganj,Modification,March,87.0
1983,Lalganj,Modification,April,275.0
1984,Lalganj,Modification,May,161.0
1985,Lalitpur,Addition,March,189.0
1986,Lalitpur,Addition,April,221.0
1987,Lalitpur,Addition,May,205.0
1988,Lalitpur,Deletion,March,27.0
1989,Lalitpur,Deletion,April,29.0
1990,Lalitpur,Deletion,May,15.0
1991,Lalitpur,Modification,March,235.0
1992,Lalitpur,Modification,April,131.0
1993,Lalitpur,Modification,May,155.0
1994,Lambhua,Addition,March,401.0
1995,Lambhua,Addition,April,325.0
1996,Lambhua,Addition,May,326.0
1997,Lambhua,Deletion,March,18.0
1998,Lambhua,Deletion,April,40.0
1999,Lambhua,Deletion,May,14.0
2000,Lambhua,Modification,March,286.0
2001,Lambhua,Modification,April,193.0
2002,Lambhua,Modification,May,223.0
2003,Loni,Addition,March,670.0
2004,Loni,Addition,April,465.0
2005,Loni,Addition,May,525.0
2006,Loni,Deletion,March,160.0
2007,Loni,Deletion,April,198.0
2008,Loni,Deletion,May,83.0
2009,Loni,Modification,March,353.0
2010,Loni,Modification,April,349.0
2011,Loni,Modification,May,346.0
2012,Lucknow Cantt,Addition,March,137.0
2013,Lucknow Cantt,Addition,April,190.0
2014,Lucknow Cantt,Addition,May,121.0
2015,Lucknow Cantt,Deletion,March,33.0
2016,Lucknow Cantt,Deletion,April,177.0
2017,Lucknow Cantt,Deletion,May,11.0
2018,Lucknow Cantt,Modification,March,101.0
2019,Lucknow Cantt,Modification,April,190.0
2020,Lucknow Cantt,Modification,May,94.0
2021,Lucknow Central,Addition,March,117.0
2022,Lucknow Central,Addition,April,167.0
2023,Lucknow Central,Addition,May,174.0
2024,Lucknow Central,Deletion,March,74.0
2025,Lucknow Central,Deletion,April,225.0
2026,Lucknow Central,Deletion,May,38.0
2027,Lucknow Central,Modification,March,149.0
2028,Lucknow Central,Modification,April,160.0
2029,Lucknow Central,Modification,May,150.0
2030,Lucknow East,Addition,March,234.0
2031,Lucknow East,Addition,April,241.0
2032,Lucknow East,Addition,May,214.0
2033,Lucknow East,Deletion,March,73.0
2034,Lucknow East,Deletion,April,362.0
2035,Lucknow East,Deletion,May,49.0
2036,Lucknow East,Modification,March,226.0
2037,Lucknow East,Modification,April,266.0
2038,Lucknow East,Modification,May,170.0
2039,Lucknow North,Addition,March,739.0
2040,Lucknow North,Addition,April,296.0
2041,Lucknow North,Addition,May,315.0
2042,Lucknow North,Deletion,March,42.0
2043,Lucknow North,Deletion,April,297.0
2044,Lucknow North,Deletion,May,23.0
2045,Lucknow North,Modification,April,225.0
2046,Lucknow North,Modification,May,185.0
2047,Lucknow West,Addition,March,356.0
2048,Lucknow West,Addition,April,311.0
2049,Lucknow West,Addition,May,398.0
2050,Lucknow West,Deletion,March,15.0
2051,Lucknow West,Deletion,April,112.0
2052,Lucknow West,Deletion,May,27.0
2053,Lucknow West,Modification,March,177.0
2054,Lucknow West,Modification,April,209.0
2055,Lucknow West,Modification,May,232.0
2056,Machhlishahr,Addition,March,361.0
2057,Machhlishahr,Addition,April,281.0
2058,Machhlishahr,Addition,May,343.0
2059,Machhlishahr,Deletion,March,28.0
2060,Machhlishahr,Deletion,April,54.0
2061,Machhlishahr,Deletion,May,40.0
2062,Machhlishahr,Modification,March,220.0
2063,Machhlishahr,Modification,April,250.0
2064,Machhlishahr,Modification,May,181.0
2065,Madhaugarh,Addition,March,263.0
2066,Madhaugarh,Addition,April,257.0
2067,Madhaugarh,Addition,May,197.0
2068,Madhaugarh,Deletion,March,24.0
2069,Madhaugarh,Deletion,April,52.0
2070,Madhaugarh,Deletion,May,10.0
2071,Madhaugarh,Modification,March,155.0
2072,Madhaugarh,Modification,April,138.0
2073,Madhaugarh,Modification,May,114.0
2074,Madhuban,Addition,March,246.0
2075,Madhuban,Addition,April,178.0
2076,Madhuban,Addition,May,203.0
2077,Madhuban,Deletion,March,17.0
2078,Madhuban,Deletion,April,44.0
2079,Madhuban,Deletion,May,14.0
2080,Madhuban,Modification,March,233.0
2081,Madhuban,Modification,April,156.0
2082,Madhuban,Modification,May,158.0
2083,Mahadewa,Addition,March,247.0
2084,Mahadewa,Addition,April,228.0
2085,Mahadewa,Addition,May,215.0
2086,Mahadewa,Deletion,March,40.0
2087,Mahadewa,Deletion,April,60.0
2088,Mahadewa,Deletion,May,27.0
2089,Mahadewa,Modification,March,156.0
2090,Mahadewa,Modification,April,138.0
2091,Mahadewa,Modification,May,127.0
2092,Maharajganj,Addition,March,407.0
2093,Maharajganj,Addition,April,357.0
2094,Maharajganj,Addition,May,349.0
2095,Maharajganj,Deletion,March,7.0
2096,Maharajganj,Deletion,April,14.0
2097,Maharajganj,Deletion,May,35.0
2098,Maharajganj,Modification,March,227.0
2099,Maharajganj,Modification,April,223.0
2100,Maharajganj,Modification,May,201.0
2101,Maharajpur,Addition,March,502.0
2102,Maharajpur,Addition,April,436.0
2103,Maharajpur,Addition,May,473.0
2104,Maharajpur,Deletion,March,14.0
2105,Maharajpur,Deletion,April,130.0
2106,Maharajpur,Deletion,May,19.0
2107,Maharajpur,Modification,March,197.0
2108,Maharajpur,Modification,April,207.0
2109,Maharajpur,Modification,May,178.0
2110,Mahasi,Addition,March,514.0
2111,Mahasi,Addition,April,325.0
2112,Mahasi,Addition,May,438.0
2113,Mahasi,Deletion,March,5.0
2114,Mahasi,Deletion,April,6.0
2115,Mahasi,Deletion,May,10.0
2116,Mahasi,Modification,March,165.0
2117,Mahasi,Modification,April,128.0
2118,Mahasi,Modification,May,90.0
2119,Mahmoodabad,Addition,March,249.0
2120,Mahmoodabad,Addition,April,189.0
2121,Mahmoodabad,Addition,May,145.0
2122,Mahmoodabad,Deletion,March,2.0
2123,Mahmoodabad,Deletion,April,18.0
2124,Mahmoodabad,Deletion,May,12.0
2125,Mahmoodabad,Modification,March,94.0
2126,Mahmoodabad,Modification,April,95.0
2127,Mahmoodabad,Modification,May,81.0
2128,Mahoba,Addition,March,263.0
2129,Mahoba,Addition,April,284.0
2130,Mahoba,Addition,May,231.0
2131,Mahoba,Deletion,March,25.0
2132,Mahoba,Deletion,April,51.0
2133,Mahoba,Deletion,May,12.0
2134,Mahoba,Modification,March,142.0
2135,Mahoba,Modification,April,160.0
2136,Mahoba,Modification,May,133.0
2137,Maholi,Addition,March,187.0
2138,Maholi,Addition,April,139.0
2139,Maholi,Addition,May,93.0
2140,Maholi,Deletion,March,23.0
2141,Maholi,Deletion,April,19.0
2142,Maholi,Deletion,May,6.0
2143,Maholi,Modification,March,78.0
2144,Maholi,Modification,April,103.0
2145,Maholi,Modification,May,51.0
2146,Mainpuri,Addition,March,307.0
2147,Mainpuri,Addition,April,155.0
2148,Mainpuri,Addition,May,127.0
2149,Mainpuri,Deletion,March,25.0
2150,Mainpuri,Deletion,April,40.0
2151,Mainpuri,Deletion,May,5.0
2152,Mainpuri,Modification,March,163.0
2153,Mainpuri,Modification,April,124.0
2154,Mainpuri,Modification,May,99.0
2155,Majhawan,Addition,March,613.0
2156,Majhawan,Addition,April,343.0
2157,Majhawan,Addition,May,392.0
2158,Majhawan,Deletion,March,10.0
2159,Majhawan,Deletion,April,22.0
2160,Majhawan,Deletion,May,3.0
2161,Majhawan,Modification,March,218.0
